team,confed,sum_stage_score_full,sum_stage_score_post94,win_rate,gd_per_game,gf_per_game,avg_rank
Algeria,CAF,6,3.0,0.22916666666666666,0.0,0.9375,53.77981651376147
Angola,CAF,1,1.0,0.0,,0.3333333333333333,87.36085626911316
Argentina,CONMEBOL,61,25.0,0.5025132275132275,0.8593406593406593,1.696825396825397,5.532110091743119
Australia,AFC,9,7.0,0.18055555555555555,-0.5,0.8194444444444443,46.57492354740061
Austria,UEFA,18,1.0,0.3619047619047619,0.39999999999999997,1.3785714285714286,47.74923547400611
Belgium,UEFA,31,13.0,0.30425170068027213,0.3658730158730159,1.2833333333333332,26.440366972477065
Bolivia,CONMEBOL,5,1.0,0.0,,0.1111111111111111,73.06727828746178
Bosnia and Herzegovina,UEFA,1,1.0,0.3333333333333333,0.0,1.3333333333333333,57.91776315789474
Brazil,CONMEBOL,86,33.0,0.6256493506493507,1.3140350877192981,2.0515151515151513,3.125382262996942
Bulgaria,UEFA,15,5.0,0.061224489795918366,,0.7517006802721088,46.61467889908257
Cameroon,CAF,10,6.0,0.15833333333333333,0.0,0.7999999999999999,37.96636085626911
Canada,CONCACAF,2,1.0,0.0,-1.6666666666666667,0.3333333333333333,78.01834862385321
Chile,CONMEBOL,20,6.0,0.2962962962962963,0.5,1.1666666666666667,29.99388379204893
China PR,AFC,1,1.0,0.0,,0.0,73.42507645259938
Colombia,CONMEBOL,11,7.0,0.36944444444444446,0.7833333333333333,1.3722222222222225,19.53211009174312
Costa Rica,CONCACAF,9,7.0,0.2611111111111111,-1.0333333333333332,1.0555555555555556,44.730886850152906
Croatia,UEFA,16,16.0,0.42063492063492064,0.42857142857142855,1.3412698412698412,18.412844036697248
Cuba,CONCACAF,3,,0.3333333333333333,,1.6666666666666667,109.17337461300309
Czech Republic,UEFA,1,1.0,0.3333333333333333,,1.0,
Czechoslovakia,UEFA,23,,0.30416666666666664,0.6333333333333333,1.3333333333333333,
Denmark,UEFA,11,9.0,0.37222222222222223,0.19666666666666668,1.2722222222222221,19.574923547400612
Dutch East Indies,AFC,2,,0.0,,0.0,
